PA_Record_Type|PA_Payment_Record_Number|PA_Brand_Code|PA_Agency_Name|PA_Agency_Address_1|PA_Agency_Address_2|PA_Agency_Address_3|PA_Agency_City|PA_Agency_State_Province_Code|PA_Agency_Country_Code|PA_Agency_Postal_Code|PA_Agency_Phone_Number|PA_Agency_Payment_Currency
PA|190916000415|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000416|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000417|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000418|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000419|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000420|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000421|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000422|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000423|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000424|RF|HALPERN TRAVEL, LLC|121 LORING AVE|STE 425||SALEM|MA|US|01970-4461|1-978-219-5715|USD
PA|190916000425|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000426|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000427|RF|BLUE RIBBON BUSINESS TVL INTL INC|SUITE 190|3601 WEST 76TH STREET||EDINA|MN|US|55435|1-952-835-2724|USD
PA|190916000428|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000429|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000430|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000431|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000432|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000433|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000434|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000435|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000436|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000437|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000438|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000439|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000440|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000441|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000442|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000443|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000444|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000445|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000446|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000447|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000448|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000449|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000450|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000451|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000452|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000453|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000454|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000455|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000456|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000457|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000458|RF|NHI-2, LLC|P.O. BOX 74008563|||CHICAGO|IL|US|60674-8563|1-847-718-9181|USD
PA|190916000459|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 500|21300 VICTORY BLVD||WOODLAND HLS|CA|US|91367|1-763-408-1910|USD
PA|190916000460|RF|BALBOA TRAVEL INC|SUITE 300|5414 OBERLIN DRIVE||SAN DIEGO|CA|US|921214744|1-858-678-3300|USD
PA|190916000461|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000462|RF|TZELL HOLDINGS LLC|SUITE 450|6225 N STATE HIGHWAY 161||IRVING|TX|US|75038|1-408-280-6410|USD
PA|190916000463|RF|HOGG ROBINSON GERMANYGMBH & CO. KG|AGRIPPASTR. 87-93|||COLOGNE|DE|DE|50676|49-180-5002439|USD
PA|190916000464|RF|BENEPLACE, INC.|P.O. Box 203550|||Austin|TX|USA|78720||USD
PA|190916000465|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000466|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 200|1250 NORTHLAND DR||MENDOTA HTS|MN|US|55120|1-651-406-6000|USD
PA|190916000467|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 200|1250 NORTHLAND DR||MENDOTA HTS|MN|US|55120|1-651-406-6000|USD
PA|190916000468|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 200|1250 NORTHLAND DR||MENDOTA HTS|MN|US|55120|1-651-406-6000|USD
PA|190916000469|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000470|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000471|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000472|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000473|RF|Amac - The Association of Mature American Citizens|5 Orville Drive|Suite 400||Bohemia|NY|USA|11716||USD
PA|190916000474|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000475|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000476|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000477|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000478|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000479|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000480|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000481|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000482|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000483|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000484|RF|AMERICAN INTERNATIONAL TRAVEL INC|SUITE 200|150 NORTH MAIN STREET||BOUNTIFUL|UT|US|84010|1-801-292-8687|USD
PA|190916000485|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000486|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000487|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000488|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000489|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000490|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000491|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000492|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000493|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000494|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000495|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000496|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000497|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000498|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000499|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000500|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000501|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000502|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000503|RF|AAA ALLIED GROUP|3710 PALOMAR CENTRE DRIVE|||LEXINGTON|KY|US|40513|1-859-219-3333|USD
PA|190916000504|RF|IHFRA|PO BOX 670|||HIGH POINT|NC|USA|27261||USD
PA|190916000505|RF|IHFRA|PO BOX 670|||HIGH POINT|NC|USA|27261||USD
PA|190916000506|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000507|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000508|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000509|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000510|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000511|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000512|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000513|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000514|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000515|RF|CALDWELL TRAVEL INC|5341 VIRGINIA WAY|||BRENTWOOD|TN|US|37027|1-615-327-2720|USD
PA|190916000516|RF|SPARKFLY - PERKS|1440 Dutch Valley Place NE|Suite 1000||Atlanta|GA|USA|30324||USD
PA|190916000517|RF|NHI-2, LLC|P.O. BOX 74008563|||CHICAGO|IL|US|60674-8563|1-847-718-9181|USD
PA|190916000518|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000519|RF|ATLAS TRAVEL AND TECHNOLOGY GROUP INC|SUITE 3|ONE MAPLE STREET||MILFORD|MA|US|01757|1-508-478-8626|USD
PA|190916000520|RF|ATLAS TRAVEL AND TECHNOLOGY GROUP INC|SUITE 3|ONE MAPLE STREET||MILFORD|MA|US|01757|1-508-478-8626|USD
PA|190916000521|RF|ADTRAV CORPORATION|STE 101|4555 SOUTHLAKE PARKWAY||BIRMINGHAM|AL|US|352443238|1-205-444-4800|USD
PA|190916000522|RF|ENTERTAINMENT PUBLICATIONS|1401 Crooks Rd|Ste 150||Troy|MI|USA|48084||USD
PA|190916000523|RF|TRAVEL SYNDICATION TECHNOLOGY LLC|SUITE 1000|5555 GLEN RIDGE CONNECTOR||ATLANTA|GA|US|30342|1-404-793-7460|USD
PA|190916000524|RF|World Freerunning Parkour Federation|7119 W. Sunset Blvd. |||Los Angeles|CA|USA|90046||USD
PA|190916000525|RF|CW GOVERNMENT TRAVEL INC|BLDG 2180|||FORT MCCOY|WI|US|546565000|1-608-269-4560|USD
PA|190916000526|RF|SCHWAN'S SHARED SERVICES LLC|1650 W COLLEGE DR|||MARSHALL|MN|US|56258|1-507-537-8203|USD
PA|190916000527|RF|TRAVELTRUST CORP|SUITE F|374 N COAST HWY 101||ENCINITAS|CA|US|92024|1-760-635-1700|USD
PA|190916000528|RF|ANTIQUES & COLLECTIBLES NATIONAL ASSOCIATION|PO Box 4389|||Davidson|NC|USA|28036||USD
PA|190916000529|RF|ANTIQUES & COLLECTIBLES NATIONAL ASSOCIATION|PO Box 4389|||Davidson|NC|USA|28036||USD
PA|190916000530|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000531|RF|BEST TRAVEL AND TOURS INC|8600 W BRYN MAWR AVE|||CHICAGO|IL|US|60631|1-773-380-0150|USD
PA|190916000532|RF|TSI USA|SUITE 900|8111 LBJ FRWY||DALLAS|TX|US|75251|1-214-915-9000|USD
PA|190916000533|RF|NHI-2, LLC|P.O. BOX 74008563|||CHICAGO|IL|US|60674-8563|1-847-718-9181|USD
PA|190916000534|RF|FOX WORLD TRAVEL INC|2150 S WASHBURN|P O BOX 2386||OSHKOSH|WI|US|549048949|1-920-230-4466|USD
PA|190916000535|RF|THE ETRAVEL COMPANY (PTY) LTD|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000536|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000537|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000538|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000539|RF|LODGING SOURCE L.L.C.|PO BOX 744|||MOUNT PLEASANT|SC|US|29465-0744|1-843-971-6050|USD
PA|190916000540|RF|LODGING SOURCE L.L.C.|PO BOX 744|||MOUNT PLEASANT|SC|US|29465-0744|1-843-971-6050|USD
PA|190916000541|RF|LODGING SOURCE L.L.C.|PO BOX 744|||MOUNT PLEASANT|SC|US|29465-0744|1-843-971-6050|USD
PA|190916000542|RF|CARLSON WAGONLIT TRAVEL INC|22ND FLOOR 22.33D|525 WASHINGTON BLVD||JERSEY CITY|NJ|US|07310|1-212-314-5000|USD
PA|190916000543|RF|World Freerunning Parkour Federation|7119 W. Sunset Blvd. |||Los Angeles|CA|USA|90046||USD
PA|190916000544|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000545|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000546|RF|TRAVEL & TRANSPORT INC|SUITE 700|2120 S 72ND STREET||OMAHA|NE|US|68124|1-206-216-1328|USD
PA|190916000547|RF|EGENCIA LLC|SUITE 300|2970 CLAIRMONT RD||ATLANTA|GA|US|30329|1-425-679-3027|USD
PA|190916000548|RF|EGENCIA LLC|SUITE 300|2970 CLAIRMONT RD||ATLANTA|GA|US|30329|1-425-679-3027|USD
PA|190916000549|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000550|RF|GBT US LLC|MC13-01-76 STE 55/B205|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000551|RF|CORPORATE LODGING CONSULTANTSINC|8111 E 32ND ST N|STE 300||WICHITA|KS|US|67226-2619|1-316-636-5055|USD
PA|190916000552|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000553|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000554|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000555|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000556|RF|HOTEL RESERVATION SERVICEROBERT RAGGE GMBH|BLAUBACH 32|||COLOGNE|DE|DE|50676|49-221-2077500|USD
PA|190916000557|RF|HOTEL RESERVATION SERVICEROBERT RAGGE GMBH|BLAUBACH 32|||COLOGNE|DE|DE|50676|49-221-2077500|USD
PA|190916000558|RF|HOTEL RESERVATION SERVICEROBERT RAGGE GMBH|BLAUBACH 32|||COLOGNE|DE|DE|50676|49-221-2077500|USD
PA|190916000559|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000560|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000561|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000562|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000563|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000564|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000565|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000566|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000567|RF|Weekly 7 Nights Rate|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000568|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000569|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000570|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000571|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000572|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000573|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000574|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000575|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000576|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000577|RF|GBT US LLC|MC13-01-76 STE 55/B303|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5185|USD
PA|190916000578|RF|ENTERTAINMENT PUBLICATIONS|1401 Crooks Rd|Ste 150||Troy|MI|USA|48084||USD
PA|190916000579|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000580|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000581|RF|S & K ENTERPRISES INC|401 RIDLEY AVE|||LAGRANGE|GA|US|30240|1-706-882-9381|USD
PA|190916000582|RF|INTERACTIVE HOTEL SOLUTIONS INC|PO BOX 504558|||ST. LOUIS|MO|US|631504558|1-417-866-1670|USD
PA|190916000583|RF|HOTWIRE INC|333 108TH AVE NE|||BELLEVUE|WA|US|98004|1-850-981-4879|USD
PA|190916000584|RF|ENTERTAINMENT PUBLICATIONS|1401 Crooks Rd|Ste 150||Troy|MI|USA|48084||USD
PA|190916000585|RF|THE OHIO AUTO CLUB INC|90 E WILSON BRIDGE RD|||WORTHINGTON|OH|US|43085|1-800-633-9300|USD
PA|190916000586|RF|GBT US LLC|MC13-01-76 STE 55/B205|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000587|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000588|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000589|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000590|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000591|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000592|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000593|RF|TRAVEL ONE INC|STE 1500|8009 34TH AVE SOUTH||MINNEAPOLIS|MN|US|554251609|1-952-854-2551|USD
PA|190916000594|RF|Amac - The Association of Mature American Citizens|5 Orville Drive|Suite 400||Bohemia|NY|USA|11716||USD
PA|190916000595|RF|WORLD TRAVEL SERVICES LLC|STE 101|7645 E 63RD ST||TULSA|OK|US|741331208|1-918-743-8856|USD
PA|190916000596|RF|AIR FORCE LEISURE TRAVEL|2261 HUGHES AVE|STE 156||JBSA LACKLAND|TX|US|782369854|1-210-395-7495|USD
PA|190916000597|RF|INTERACTIVE HOTEL SOLUTIONS INC|PO BOX 504558|||ST. LOUIS|MO|US|631504558|1-417-866-1670|USD
PA|190916000598|RF|TRAVELTIME SERVICES INC|2838 OLD 280 CT|||BIRMINGHAM|AL|US|35243|1-205-969-4900|USD
PA|190916000599|RF|NEW WORLD TRAVEL INC|5757 W. Century Blvd|Suite 820||Los Angeles|CA|US|90045|1-212-754-9100|USD
PA|190916000600|RF|NEW WORLD TRAVEL INC|5757 W. Century Blvd|Suite 820||Los Angeles|CA|US|90045|1-212-754-9100|USD
PA|190916000601|RF|NEW WORLD TRAVEL INC|5757 W. Century Blvd|Suite 820||Los Angeles|CA|US|90045|1-212-754-9100|USD
PA|190916000602|RF|NEW WORLD TRAVEL INC|5757 W. Century Blvd|Suite 820||Los Angeles|CA|US|90045|1-212-754-9100|USD
PA|190916000603|RF|GBT US LLC|MC13-01-76 STE 55/B205|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000604|RF|CRUISE VENTURES INC|500 VOLVO PARKWAY|||CHESAPEAKE|VA|US|23320|1-767-321-5000|USD
PA|190916000605|RF|FROSCH/GANT TRAVEL MANAGEMENT|605 S Front St|||COLUMBUS|OH|USA|43215||USD
PA|190916000606|RF|ENTERTAINMENT PUBLICATIONS|1401 Crooks Rd|Ste 150||Troy|MI|USA|48084||USD
PA|190916000607|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000608|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000609|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000610|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000611|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000612|RF|TRAVEL MARVELZ LLC|83 NORTH 700 EAST|||ST GEORGE|UT|US|847703028|1-435-673-9678|USD
PA|190916000613|RF|GBT US LLC|MC13-01-76 STE 55/B201|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000614|RF|GBT US LLC|MC13-01-76 STE 55/B201|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000615|RF|GBT US LLC|MC13-01-76 STE 55/B201|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000616|RF|GBT US LLC|MC13-01-76 STE 55/B201|2401 W BEHREND DR||PHOENIX|AZ|US|85027|1-623-516-5507|USD
PA|190916000617|RF|WORLDCHOICETRAVEL.COM,|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000618|RF|WORLDCHOICETRAVEL.COM,|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000619|RF|WORLDCHOICETRAVEL.COM,|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000620|RF|ARTHUR J. GALLAGHER|AJGRMS-AMG|P.O. Box 71870||Chicago|IL|USA|60694-1870||USD
PA|190916000621|RF|ARTHUR J. GALLAGHER|AJGRMS-AMG|P.O. Box 71870||Chicago|IL|USA|60694-1870||USD
PA|190916000622|RF|ARTHUR J. GALLAGHER|AJGRMS-AMG|P.O. Box 71870||Chicago|IL|USA|60694-1870||USD
PA|190916000623|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
